발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2017,2017010500,40,야간,목,1,2,0,1,0,경기,이천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,999246,1917466,127.4914972,37.25608193
2017,2017010501,0,야간,목,1,1,0,0,0,경남,진주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1055058,1684705,128.1045108,35.15608728
2017,2017010503,57,야간,목,1,1,0,0,0,경기,성남시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,966375,1933395,127.1200956,37.39905482
2017,2017010506,9,주간,목,1,2,0,1,0,전북,전주시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,승용차,968901,1760336,127.1556439,35.83904383
2017,2017010510,20,주간,목,1,1,0,0,0,서울,광진구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,961587,1949242,127.0651741,37.54170482
2017,2017010510,20,주간,목,1,1,0,0,0,대구,남구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,기타,기타,자전거,자전거,화물차,화물차,1098374,1762641,128.5894901,35.85537966
2017,2017010511,45,주간,목,1,4,0,3,0,경기,오산시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,화물차,화물차,962504,1904323,127.0778265,37.13685774
2017,2017010518,40,야간,목,1,1,0,0,0,전북,익산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,952718,1771582,126.9757889,35.93978773
2017,2017010518,25,야간,목,1,1,0,0,0,제주,제주시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,894749,1487160,126.3685785,33.37087456
2017,2017010520,55,야간,목,1,1,0,0,0,강원,양양군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1097137,2017091,128.6088903,38.14880989
2017,2017010520,30,야간,목,1,1,0,0,0,경북,경주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1164250,1756099,129.3174572,35.78759752
2017,2017010522,20,야간,목,1,2,1,0,0,대전,대덕구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,991114,1827149,127.4008504,36.4418641
2017,2017010522,40,야간,목,1,1,0,0,0,전북,임실군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,988607,1740760,127.3741238,35.66296795
2017,2017010522,0,야간,목,1,1,0,0,0,경기,고양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,935250,1963385,126.7658117,37.66769834
2017,2017010600,40,야간,금,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,958083,1949880,127.0254745,37.54730259
2017,2017010601,0,야간,금,1,1,0,0,0,경남,합천군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,없음,없음,1070247,1727164,128.2749143,35.53795513
2017,2017010606,0,주간,금,1,1,0,0,0,서울,성북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,959245,1955990,127.0381594,37.60244866
2017,2017010607,5,주간,금,1,1,0,0,0,세종,세종,차대사람,횡단중,횡단중,운전자법규위반,중앙선 침범,기타,기타,승합차,승합차,보행자,보행자,984158,1840361,127.322965,36.56088249
2017,2017010611,53,주간,금,1,1,0,0,0,부산,강서구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,없음,없음,1127520,1677726,128.8988819,35.08659418
2017,2017010614,29,주간,금,1,1,0,0,0,경기,시흥시,차대차,측면충돌,측면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,승용차,승용차,자전거,자전거,936715,1941015,126.7843535,37.46618294
2017,2017010615,9,주간,금,1,1,0,0,0,충남,서천군,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,자전거,자전거,927594,1779654,126.6965245,36.01101807
2017,2017010617,50,주간,금,1,1,0,0,0,충북,진천군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,994801,1875083,127.4416647,36.87401354
2017,2017010617,40,주간,금,1,1,0,0,0,경북,경산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1110430,1758487,128.7224097,35.8166502
2017,2017010620,29,야간,금,1,1,0,0,0,경기,포천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,975460,1991205,127.2207944,37.92039981
2017,2017010622,20,야간,금,1,1,0,0,0,경기,성남시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,원동기장치자전거,승합차,승합차,965287,1929983,127.1079634,37.36826017
2017,2017010623,40,야간,금,1,1,0,0,0,경기,수원시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,957606,1917609,127.0219262,37.25640607
2017,2017010700,40,야간,토,1,1,0,0,0,경기,하남시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,975740,1945904,127.2254908,37.51209894
2017,2017010704,5,야간,토,1,1,0,0,0,강원,춘천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1021038,1990363,127.7393371,37.91289869
2017,2017010705,0,야간,토,1,1,0,0,0,인천,남동구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,929062,1940077,126.6979086,37.45717312
2017,2017010707,25,주간,토,1,2,1,0,0,경남,진주시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1057938,1685774,128.1362052,35.16556418
2017,2017010707,15,주간,토,1,1,0,0,0,충남,태안군,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,건설기계,건설기계,884057,1863168,126.2010304,36.75952642
2017,2017010707,20,주간,토,1,1,0,0,0,전남,여수시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1013344,1637507,127.6455284,34.73175237
2017,2017010716,23,주간,토,1,2,0,1,0,경남,통영시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,이륜차,이륜차,1077413,1660769,128.3477048,34.93879806
2017,2017010719,33,야간,토,1,1,0,0,0,충남,보령시,차대차,측면충돌,측면충돌,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,이륜차,이륜차,승용차,승용차,919526,1813952,126.6034906,36.31956746
2017,2017010719,43,야간,토,1,1,0,0,0,제주,제주시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,없음,없음,916239,1503558,126.598033,33.52065221
2017,2017010800,40,야간,일,1,1,0,0,0,서울,영등포구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,947101,1945442,126.9014769,37.50673726
2017,2017010800,5,야간,일,1,2,0,1,0,광주,서구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,941740,1685408,126.8602299,35.1624138
2017,2017010805,16,야간,일,1,3,0,2,0,충남,부여군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,960871,1808338,127.0633007,36.27615946
2017,2017010814,45,주간,일,1,1,0,0,0,대구,수성구,차대차,측면충돌,측면충돌,운전자법규위반,과속,단일로,기타단일로,이륜차,이륜차,자전거,자전거,1101579,1762333,128.6249402,35.85227615
2017,2017010815,0,주간,일,1,2,1,0,0,충북,옥천군,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,농기계,농기계,농기계,1015164,1822155,127.6691013,36.3967631
2017,2017010818,45,야간,일,1,1,0,0,0,경기,부천시,차대사람,횡단중,횡단중,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,승용차,승용차,보행자,보행자,936285,1943797,126.7792504,37.49122752
2017,2017010821,40,야간,일,1,1,0,0,0,충남,예산군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,920590,1848736,126.6117715,36.63320371
2017,2017010822,43,야간,일,1,1,0,0,0,경기,양주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,958321,1976280,127.02666,37.78525935
2017,2017010904,35,야간,월,1,1,0,0,0,인천,계양구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,931559,1949625,126.7251593,37.54341356
2017,2017010906,35,주간,월,1,2,0,1,0,경기,안산시,차대차,정면충돌,정면충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,940558,1923416,126.8292232,37.3078145
2017,2017010907,30,주간,월,1,1,0,0,0,전북,김제시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,945623,1762231,126.8977698,35.85511359
2017,2017010910,41,주간,월,1,1,0,0,0,경북,울진군,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,승용차,승용차,1168945,1890039,129.3985147,36.99366329
2017,2017010912,47,주간,월,1,2,0,1,0,경기,여주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1017366,1911390,127.6956927,37.20115104
2017,2017010915,14,주간,월,1,1,0,0,0,강원,원주시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승용차,승용차,건설기계,건설기계,1029865,1934186,127.8374556,37.40631348
2017,2017010915,45,주간,월,1,4,0,3,0,울산,북구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,승용차,승용차,1170806,1729389,129.3842994,35.5457811
2017,2017010916,25,주간,월,1,1,0,0,0,전북,김제시,차대차,측면충돌,측면충돌,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,원동기장치자전거,원동기장치자전거,화물차,화물차,936815,1757836,126.8005744,35.81496188
2017,2017010917,15,주간,월,1,3,2,0,0,경기,파주시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,화물차,화물차,화물차,화물차,949377,1996717,126.9236556,37.96899871
2017,2017010918,20,야간,월,1,1,0,0,0,강원,속초시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,승용차,자전거,자전거,1094333,2022190,128.5775208,38.19516442
2017,2017011001,10,야간,화,1,1,0,0,0,경북,포항시,차대사람,횡단중,횡단중,운전자법규위반,중앙선 침범,교차로,교차로부근,승용차,승용차,보행자,보행자,1167674,1783703,129.3611455,36.03576755
2017,2017011004,25,야간,화,1,1,0,0,0,전북,전주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,965971,1760936,127.1235489,35.84404078
2017,2017011006,30,주간,화,1,1,0,0,0,전남,진도군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,884179,1603828,126.2395344,34.42171273
2017,2017011009,19,주간,화,1,1,0,0,0,경기,수원시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,자전거,자전거,승합차,승합차,953902,1920826,126.9799586,37.28522695
2017,2017011011,27,주간,화,1,2,0,1,0,세종,세종,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승용차,승용차,승용차,976827,1834194,127.2412267,36.50513691
2017,2017011012,10,주간,화,1,9,3,5,0,광주,서구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,944138,1684066,126.8867054,35.15028124
2017,2017011013,20,주간,화,1,1,0,0,0,경기,동두천시,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승합차,승합차,승용차,승용차,960504,1991831,127.0506011,37.92551508
2017,2017011014,5,주간,화,1,1,0,0,0,충남,논산시,차대차,정면충돌,정면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,화물차,화물차,961688,1799990,127.0738565,36.19629576
2017,2017011018,50,야간,화,1,1,0,0,0,경기,수원시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,955620,1918972,126.9994497,37.26859918
2017,2017011021,20,야간,화,1,1,0,0,0,충남,천안시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,자전거,자전거,969571,1870014,127.1587775,36.82784296
2017,2017011021,50,야간,화,1,1,0,0,0,강원,인제군,차대차,정면충돌,정면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,1061296,2012080,128.1991643,38.10679463
2017,2017011022,0,야간,화,1,2,0,1,0,서울,양천구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,승합차,승합차,945525,1948772,126.8833993,37.53665923
2017,2017011101,30,야간,수,1,3,1,1,0,경기,안성시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,970990,1885250,127.1825262,36.95431896
2017,2017011102,9,야간,수,1,1,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,972850,1969548,127.1919118,37.72513018
2017,2017011104,48,야간,수,1,1,0,0,0,대전,서구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,보행자,보행자,989857,1815097,127.3869823,36.33319873
2017,2017011106,35,주간,수,1,1,0,0,0,부산,동래구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1145217,1690249,129.0951548,35.19707858
2017,2017011112,10,주간,수,1,1,0,0,0,강원,삼척시,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1136857,1915028,129.0426206,37.22405836
2017,2017011113,52,주간,수,1,1,0,0,0,부산,기장군,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,자전거,자전거,승용차,승용차,1156547,1695584,129.2205718,35.24345741
2017,2017011116,0,주간,수,1,1,0,0,0,강원,홍천군,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,농기계,없음,없음,1041823,1965236,127.9743399,37.68571324
2017,2017011116,35,주간,수,1,4,1,2,0,충남,서천군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,929286,1789463,126.7144203,36.09957062
2017,2017011118,10,야간,수,1,1,0,0,0,경남,거제시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1089492,1652465,128.4790699,34.86293209
2017,2017011118,40,야간,수,1,1,0,0,0,전남,담양군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,교량위,승용차,승용차,보행자,보행자,958440,1705399,127.0426392,35.34332935
2017,2017011120,5,야간,수,1,1,0,0,0,울산,동구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,1173237,1722746,129.4096858,35.48549476
2017,2017011205,20,야간,목,1,1,0,0,0,전남,여수시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1016034,1641146,127.6752117,34.76467606
2017,2017011206,45,주간,목,1,1,0,0,0,경기,부천시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,자전거,자전거,937107,1948336,126.7889711,37.53221928
